"country","year","dname","median","mima5_dhi","pl","pl_origin","pr","n_obs","total_pop","n_poor"
"United States",1985,"us85",29356.241390998,29356.241390998,14678.120695499,"mima5_dhi",0.177159021608966,157605,236748983.14,41942218.22
"United States",1986,"us86",30392.7410989889,30392.7410989889,15196.3705494945,"mima5_dhi",0.178799446647205,155407,238788969.88,42695335.68
"United States",1987,"us87",31573.1198573986,30906.4260843606,15453.2130421803,"mima5_dhi",0.173153528435929,155980,241186892.16,41762361.39
"United States",1988,"us88",31424.1697077469,31194.3017710794,15597.1508855397,"mima5_dhi",0.172759777344506,144687,243684940.83,42098956.12
"United States",1989,"us89",31785.8583666705,31215.1050312516,15607.5525156258,"mima5_dhi",0.169905323936639,158079,246191485.71,41829244.13
"United States",1990,"us90",30795.6198245921,30973.9427394085,15486.9713697042,"mima5_dhi",0.172543715884128,158477,248885794.42,42943679.8
"United States",1991,"us91",30496.7573998501,30676.8421858026,15338.4210929013,"mima5_dhi",0.175626041088739,155783,251415659.98,44155137.03
"United States",1992,"us92",30367.3083981827,30382.7088393687,15191.3544196843,"mima5_dhi",0.175560518219283,155197,254241069.42,44634693.9
"United States",1993,"us93",29938.6669397175,30394.975913369,15197.4879566845,"mima5_dhi",0.180165794267324,150943,259752595.16,46798532.62
"United States",1994,"us94",30315.1916345011,30544.3329100067,15272.1664550033,"mima5_dhi",0.170325987325498,149242,261300572.56,44506278.01
"United States",1995,"us95",30856.9551945939,30843.4713749553,15421.7356874777,"mima5_dhi",0.162817220486775,130081,263387262.12,42883981.93
"United States",1996,"us96",31243.5423830383,31495.2820282163,15747.6410141082,"mima5_dhi",0.169090345784434,131397,265695604.51,44926561.64
"United States",1997,"us97",31863.0007229261,32233.410750519,16116.7053752595,"mima5_dhi",0.169549239604844,131216,268119792.02,45459506.86
"United States",1998,"us98",33197.7202060223,32886.5437759057,16443.2718879529,"mima5_dhi",0.165739157956736,131874,270699759.81,44865550.25
"United States",1999,"us99",34005.8352460142,33418.4862377803,16709.2431188901,"mima5_dhi",0.163049729724921,133260,273056732.6,44521826.45
"United States",2000,"us00",34122.6203215276,33873.9378920532,16936.9689460266,"mima5_dhi",0.163780935897571,217670,278557010.68,45622327.91
"United States",2001,"us01",33903.2546924113,34110.1996285105,17055.0998142553,"mima5_dhi",0.170393772311721,216658,281118677.99,47900872.01
"United States",2002,"us02",34140.2589942908,34108.2898105879,17054.1449052939,"mima5_dhi",0.172830196217942,215856,284951904.92,49248293.64
"United States",2003,"us03",34379.0288883086,34099.2213097487,17049.6106548743,"mima5_dhi",0.172347247121323,212723,287379141.92,49529003.99
"United States",2004,"us04",33996.2861564012,34164.5715619985,17082.2857809993,"mima5_dhi",0.168512221644824,210128,290242962.87,48909486.49
"United States",2005,"us05",34077.2778173315,34240.3138143657,17120.1569071828,"mima5_dhi",0.169537987623481,208023,292907883.16,49659013.07
"United States",2006,"us06",34230.0059536606,34066.7337227188,17033.3668613594,"mima5_dhi",0.165938982161412,206043,295695740.09,49067450.14
"United States",2007,"us07",34518.9702561264,34021.3272537779,17010.663626889,"mima5_dhi",0.169636188208747,205795,297948890.35,50542914.04
"United States",2008,"us08",33511.1284300741,33875.1783017278,16937.5891508639,"mima5_dhi",0.172995924328902,207322,300319822.34,51954105.26
"United States",2009,"us09",33769.253811697,33628.0552469362,16814.0276234681,"mima5_dhi",0.151912484462416,209078,303044871.94,46036299.4
"United States",2010,"us10",33346.533057081,33369.7691902674,16684.8845951337,"mima5_dhi",0.161892510436539,204342,304948220.13,49368832.91
"United States",2011,"us11",32994.3906797024,33287.3975316643,16643.6987658322,"mima5_dhi",0.162244223360334,200774,307673748.97,49918288.45
"United States",2012,"us12",33227.5399727825,33090.4350484081,16545.2175242041,"mima5_dhi",0.162116218161974,202013,310031353,50261110.46
"United States",2013,"us13",33099.2701370588,33212.9499859749,16606.4749929874,"mima5_dhi",0.163517983203639,139060,312489871.26,51097713.52
"United States",2014,"us14",32784.4413954159,33860.5126422,16930.2563211,"mima5_dhi",0.167367028288877,198479,315109775.2,52738986.66
"United States",2015,"us15",33959.1077449149,34509.3629020418,17254.6814510209,"mima5_dhi",0.159656727671768,184980,317786409.88,50736738.3
"United States",2016,"us16",36232.2039608281,35468.9727479039,17734.486373952,"mima5_dhi",0.160698819308691,185412,319310408.32,51312805.61
"United States",2017,"us17",36471.7912719911,36945.2789948424,18472.6394974212,"mima5_dhi",0.174476511458113,179596,322116440.49,56201752.82
"United States",2018,"us18",37897.3193663697,38552.5134715847,19276.2567357923,"mima5_dhi",0.178271975620103,179645,323344392.07,57643243.58
"United States",2019,"us19",40165.9726301081,39752.6062332875,19876.3031166438,"mima5_dhi",0.170020575192353,157571,324365876.41,55148872.88
"United States",2020,"us20",41995.2801286265,41995.2801286265,20997.6400643133,"mima5_dhi",0.156455118564162,163127,325255375.58,50887868.35
"United States",2021,"us21",42232.667769342,42232.667769342,21116.333884671,"mima5_dhi",0.143262557807661,152341,327724724.23,46950682.25
