"country","year","dname","median","mima5_dhi","pl","pl_origin","pr","n_obs","total_pop","n_poor"
"Germany",2000,"de00",27357.0728464496,26855.6921921438,13427.8460960719,"mima5_dhi",0.0713713421941347,28890,82013041.37,5853380.84
"Germany",2001,"de01",26796.6868574382,27074.719205874,13537.359602937,"mima5_dhi",0.0786108008915699,30261,82204551.75,6462165.65
"Germany",2002,"de02",27412.7532682559,27176.876232516,13588.438116258,"mima5_dhi",0.076876034317822,28935,82285261.54,6325764.59
"Germany",2003,"de03",27132.7367842473,27077.3209531715,13538.6604765858,"mima5_dhi",0.0802842619603844,28060,82231105.31,6601863.6
"Germany",2004,"de04",27185.1314061888,27098.7922986315,13549.3961493158,"mima5_dhi",0.0822179858293771,26824,82170188.82,6755867.42
"Germany",2005,"de05",26859.2964497275,27040.7418107569,13520.3709053784,"mima5_dhi",0.0937887187333873,28791,82078800.35,7698065.52
"Germany",2006,"de06",26904.0435847381,27001.6892047868,13500.8446023934,"mima5_dhi",0.0895493125898074,26737,81951587.43,7338708.32
"Germany",2007,"de07",27122.5008288827,27059.2647946908,13529.6323973454,"mima5_dhi",0.0870378049395517,24999,81872974.45,7126043.98
"Germany",2008,"de08",26937.473754397,27219.4765325628,13609.7382662814,"mima5_dhi",0.0935350897665509,23338,81590346.03,7631560.34
"Germany",2009,"de09",27473.0093557085,27294.4426837487,13647.2213418743,"mima5_dhi",0.0939929213412552,37581,81356884.23,7646971.22
"Germany",2010,"de10",27660.3551390879,27309.7202844373,13654.8601422186,"mima5_dhi",0.0899163125599486,44132,79750508.51,7170871.65
"Germany",2011,"de11",27278.8743406671,27375.0174355019,13687.5087177509,"mima5_dhi",0.0871407291652531,42526,79839541.93,6957275.9
"Germany",2012,"de12",27198.8888323257,27416.6491613647,13708.3245806823,"mima5_dhi",0.093861857027337,47815,80061579.73,7514728.55
"Germany",2013,"de13",27263.9595097201,27576.5147937786,13788.2573968893,"mima5_dhi",0.0941692853241472,41636,80412486.13,7572386.35
"Germany",2014,"de14",27681.1679850225,27915.114509915,13957.5572549575,"mima5_dhi",0.098630312270935,41214,81035321.15,7992539.03
"Germany",2015,"de15",28459.6833011577,28376.5494742831,14188.2747371415,"mima5_dhi",0.0986136848921618,36940,81426771.13,8029793.95
"Germany",2016,"de16",28971.8729213491,29009.9363451089,14504.9681725545,"mima5_dhi",0.100730824814371,45720,82096466.65,8269644.8
"Germany",2017,"de17",29506.0636541659,29698.4495116088,14849.2247558044,"mima5_dhi",0.110166741425273,47899,82251488.36,9061378.45
"Germany",2018,"de18",30430.8938638494,30516.922365307,15258.4611826535,"mima5_dhi",0.10584021122889,48520,82500600.94,8731881.03
"Germany",2019,"de19",31123.7338175218,31178.0522079906,15589.0261039953,"mima5_dhi",0.114836929736013,50558,82886497.94,9518430.94
"Germany",2020,"de20",32552.0475696488,32552.0475696488,16276.0237848244,"mima5_dhi",0.119454636558744,31206,81409719.54,9724768.46
"Germany",2021,"de21",32277.5221347669,32277.5221347669,16138.7610673834,"mima5_dhi",0.117406454637922,50086,82782240.38,9719169.35
