"country","year","dname","median","mima5_mhi","pl","pl_origin","pr","n_obs","total_pop","n_poor"
"United Kingdom",1999,"uk99",17431.8128940283,17749.347264988,8874.673632494,"mima5_mhi",0.315657503420598,56580,53994221,17043681
"United Kingdom",2000,"uk00",18552.692825937,18278.5173305074,9139.25866525371,"mima5_mhi",0.300682299984103,53450,54105087,16268442
"United Kingdom",2001,"uk01",19064.5199991641,18701.4034811418,9350.70174057088,"mima5_mhi",0.298366838755416,57132,54393833,16229316
"United Kingdom",2002,"uk02",19104.7715168192,19212.5258519323,9606.26292596616,"mima5_mhi",0.301748694192462,67400,58304534,17593317
"United Kingdom",2003,"uk03",19353.2201697602,19485.3168053148,9742.65840265741,"mima5_mhi",0.304166243528548,67123,58570316,17815113
"United Kingdom",2004,"uk04",19987.4247479812,19747.0934555035,9873.54672775175,"mima5_mhi",0.298260248067608,65232,58877417,17560793
"United Kingdom",2005,"uk05",19916.6475928494,20074.3698496898,10037.1849248449,"mima5_mhi",0.305278356876116,64733,59327383,18111366
"United Kingdom",2006,"uk06",20373.4032501076,20289.5366563984,10144.7683281992,"mima5_mhi",0.299693806296987,59530,59733103,17901641
"United Kingdom",2007,"uk07",20741.1534877505,20185.6455987035,10092.8227993517,"mima5_mhi",0.296714945725544,56926,60181441,17856733
"United Kingdom",2008,"uk08",20429.0542033034,20052.4230708109,10026.2115354054,"mima5_mhi",0.301155330031621,57276,60631160,18259397
"United Kingdom",2009,"uk09",19467.9694595065,19740.1104436692,9870.05522183459,"mima5_mhi",0.312801071324185,57380,61084778,19107384
"United Kingdom",2010,"uk10",19250.5349533865,19323.0376074469,9661.51880372344,"mima5_mhi",0.31583216063418,57928,61559551,19442486
"United Kingdom",2011,"uk11",18811.840114399,18991.3713439783,9495.68567198915,"mima5_mhi",0.307099441170893,47744,62439661,19175185
"United Kingdom",2012,"uk12",18655.7893066389,18978.4111832043,9489.20559160214,"mima5_mhi",0.311246762080746,46420,62841669,19559266
"United Kingdom",2013,"uk13",18770.7228859605,19055.5454069911,9527.77270349555,"mima5_mhi",0.305944830960931,46166,62856741,19230695
"United Kingdom",2014,"uk14",19403.1686556365,19289.2186507258,9644.60932536288,"mima5_mhi",0.296075396962129,44787,63413165,18775078
"United Kingdom",2015,"uk15",19636.2060723206,19585.5983959235,9792.79919796176,"mima5_mhi",0.298660357964765,43678,63907072,19086509
"United Kingdom",2016,"uk16",19980.2063330723,19949.445936862,9974.72296843098,"mima5_mhi",0.293449675303886,44145,64421005,18904323
"United Kingdom",2017,"uk17",20137.6880326278,20393.471447513,10196.7357237565,"mima5_mhi",0.294390896848534,42847,64641350,19029825
"United Kingdom",2018,"uk18",20589.9605906527,20528.7908361001,10264.39541805,"mima5_mhi",0.286256719566274,43079,65466837,18740322
"United Kingdom",2019,"uk19",21623.2962088915,20675.0071277354,10337.5035638677,"mima5_mhi",0.276110863977782,43314,65614604,18116905
"United Kingdom",2020,"uk20",20312.8030152562,20312.8030152562,10156.4015076281,"mima5_mhi",0.286573112166059,21254,66004521,18915121
